"","Y_Cyclistic_V2$member_casual","Y_Cyclistic_V2$weekday","Y_Cyclistic_V2$ride_length"
"1","casual","Sunday",3581.52395346656
"2","member","Sunday",920.023477910388
"3","casual","Monday",3372.39147692069
"4","member","Monday",842.572569441503
"5","casual","Tuesday",3596.32017456635
"6","member","Tuesday",826.163988238649
"7","casual","Wednesday",3718.73977092054
"8","member","Wednesday",824.006839499609
"9","casual","Thursday",3683.05479211913
"10","member","Thursday",823.92780326203
"11","casual","Friday",3773.8939332048
"12","member","Friday",824.530506415778
"13","casual","Saturday",3331.9825620517
"14","member","Saturday",968.908719327124
